from,to,weight
Erwinia,Genomotype 'genus' 5,2
Erwinia,Genomotype 'genus' 13,2
Erwinia,Genomotype 'genus' 11,1
Erwinia,Genomotype 'genus' 2,20
Dickeya,Genomotype 'genus' 6,46
Erwinia,Genomotype 'genus' 1,1
Erwinia,Genomotype 'genus' 8,1
Erwinia,Genomotype 'genus' 3,1
Dickeya,Genomotype 'genus' 12,2
Pectobacterium,Genomotype 'genus' 4,57
Erwinia,Genomotype 'genus' 16,1
Erwinia,Genomotype 'genus' 10,2
Erwinia,Genomotype 'genus' 7,2
Erwinia,Genomotype 'genus' 14,1
Erwinia,Genomotype 'genus' 17,1
Dickeya,Genomotype 'genus' 15,2
Erwinia,Genomotype 'genus' 9,1
