	sample_id	date_received	reference	variety	farm_code	os_location	clade	easting	northing	lat	lon	geogroup	parSNP
2	DM11_07	11/07/2007	NA	Kikko	030/0008	NJ8498151536	A	384981	851536	-2.25262338	57.55367536	NE	1
8	DM91_09	10/07/2009	43102	Charlotte	059/0064	NJ6424531231	A	364245	831231	-2.596128447	57.37012547	NE	1
14	DM36_09	09/07/2009	45107	Cara	055/0081	NJ8667628344	B	386676	828344	-2.223027243	57.34540663	NE	1
21	DM151_09	22/07/2009	40984	Saturna	031/0001	NJ9498440732	D	394984	840732	-2.085246876	57.45685266	NE	1
29	DM406_10	30/07/2009	51963	Desiree	227/0145	NJ7099659520	A	370996	859520	-2.487263117	57.62470399	NE	4
33	DM438_10	05/08/2010	55516	Mozart	031/0275	NJ9735441647	D	397354	841647	-2.045759404	57.4650923	NE	1
39	1661	06/07/2011	60015	Courlan	083/0074	NJ7214146058	A	372141	846058	-2.466543763	57.50385927	NE	1
43	1848	10/07/2011	61924	Maris Peer	080/0228	NJ7491238044	E	374912	838044	-2.419478959	57.43203764	NE	1
44	2168	14/07/2011	61882	Estima	059/0008	NJ6567130392	E	365671	830392	-2.572303007	57.36269942	NE	1
60	4441	05/07/2013	79965	Cabaret	083/0074	NJ7251045736	A	372510	845736	-2.460349968	57.50098962	NE	1
61	4465	06/07/2013	80165	Vr 808	053/0034	NJ8225737383	A	382257	837383	-2.297105581	57.42644819	NE	1
64	5163	26/07/2013	80749	Mozart	050/0034	NJ9578638531	A	395786	838531	-2.071842053	57.43709038	NE	1
65	5211	29/07/2013	81101	Atlantic	051/0004	NJ9668423044	D	396684	823044	-2.056668445	57.29798317	NE	1
68	5535	02/07/2014	90896	Hermes	080/0036	NJ8088236164	E	380882	836164	-2.319906049	57.41544246	NE	1
73	5985	10/07/2014	90646	Chicago	070/0031	NJ6263626140	A	362636	826140	-2.622104654	57.3242676	NE	1
91	7383	23/07/2015	103174	Estima	079/0050	NJ7093742931	A	370937	842931	-2.486260741	57.47569604	NE	1
25	DM48_09	14/07/2009	39831	Hermes	013/0003	NJ5701014492	H	357010	814492	-2.713494332	57.21914701	NE	2
67	5297	09/08/2013	84103	Bianchidea	030/0376	NJ8933441650	G	389334	841650	-2.179448405	57.46499961	NE	2
23	DM10_09	06/07/2009	45475	Marfona	081/0256	NJ8002558973	G	380025	858973	-2.33605229	57.62028319	NE	3
24	DM174_09	05/08/2009	45131	Ambo	080/0013	NJ7847334661	G	378473	834661	-2.359875237	57.40183356	NE	3
38	DM240_10	16/07/2010	52450	Estima	050/0078	NJ9054937392	G	390549	837392	-2.159028779	57.42677917	NE	3
46	2211	15/07/2011	60006	Hermes	224/0084	NJ6981556547	G	369815	856547	-2.506663405	57.59792275	NE	3
48	2846	18/08/2011	66096	Druid	227/0039	NJ7449458595	G	374494	858595	-2.428601556	57.61660779	NE	3
51	3232	12/07/2012	71586	Maris Piper	053/0034	NJ8195937133	H	381959	837133	-2.302049277	57.42419077	NE	3
55	3698	24/07/2012	71711	Charlotte	082/0026	NJ8354844977	G	383548	844977	-2.276122433	57.49470983	NE	3
85	7159	17/07/2015	102818	Cara	053/0184	NJ8912939452	G	389129	839452	-2.182766963	57.44525111	NE	3
86	7164	17/07/2015	101568	Brooke	051/0004	NJ9646022636	G	396460	822636	-2.060379435	57.29431645	NE	3
16	DM94_09	15/07/2009	43298	Lady Christl	054/0012	NK0218129332	D	402181	829332	-1.965399423	57.35447491	NE	4
30	DM96_10	09/07/2010	56039	Cultra	083/160	NJ7507454343	D	375074	854343	-2.418454165	57.57844837	NE	4
32	DM359_10	27/07/2010	53508	Desiree	053/0213	NJ8374135931	D	383741	835931	-2.272297492	57.41346146	NE	4
52	3231	12/07/2012	71592	Hermes	080/0036	NJ8064936482	D	380649	836482	-2.323809951	57.41828897	NE	4
53	3414	17/07/2012	70522	Maris Piper	059/0008	NJ6571530222	D	365715	830222	-2.571547881	57.36117576	NE	4
70	5692	04/07/2014	90830	Constance	061/0111	NJ6159930460	D	361599	830460	-2.639998581	57.36298421	NE	4
82	6272	21/07/2014	87435	Pentland Dell	083/0090	NJ7313352766	E	373133	852766	-2.450733999	57.56417184	NE	4
