sample_id	date_received	reference	variety	farm_code	os_location	clade							
DM3_07	02/07/2007	0248056202	Yukon Gold	108/0018	NO/47461/55458	A							
DM11_07	11/07/2007	-	Kikko	030/0008	NJ/84981/51536	A							
DM16_07	17/07/2007	2064381801	M. Peer	592/0126	NJ/22776/58510	A							
DM19_07	20/07/2007	2418476502	Sierra	710/0057	NO/03494/22974	A							
DM20_07	25/07/2007	2018550301	Red Pontiac	598/0012	NH/99361/58779	C							
DM2_07	02/07/2007	2450500103	M. Piper	657/0038	NN/98659/22304	D							
DM8_07	09/07/2007	1218470302	Cabaret	360/0017	NT/53773/73386	D							
DM9_07	10/07/2007	2791850602	M. Piper	782/0011	NT/74656/26564	D							
DM6_07	09/07/2007	2704450106	P. Dell	790/0009	NT/76354/31786	G							
DM7_07	09/07/2007	1909910101	Desiree	575/0011	NT/35496/67210	G							
DM10_07	10/07/2007	0669751002	Estima	254/0012	NT/79648/52994	H							
DM14_07	11/07/2007	1530950301	M. Piper	484/0043	NO/70598/92101	H							
DM21_07	25/07/2007	0201505802	Desiree	112/0003	NO/477728/63960	H							
DM4_09	06/07/2009	39828	BANBA	589/0009	NJ/16495/65015	A							
DM20_09	07/07/2009	42640	HERMES	782/0009	NT/74733/27427	A							
DM91_09	10/07/2009	43102	CHARLOTTE	059/0064	NJ/64245/31231	A							
DM121_09	17/07/2009	42001	VALOR	097/0027	NO/48836/40006	A							
DM123_09	20/07/2009	42873	DESIREE	475/0002	NO/79840/69946	A							
DM126_09	20/07/2009	43500	CABARET	488/0024	NO/14783/05932	A							
DM129_09	20/07/2009	43531	CABARET	710/0057	NO/03498/23707	A							
DM164_09	23/07/2009	41509	VALES SOVEREIGN	663/0019	NO/20714/47778	A							
DM172_09	03/08/2009	44976	MARFONA	231/0014	NJ/56548/57978	A							
DM36_09	09/07/2009	45107	CARA	055/0081	NJ/86676/28344	B							
DM154_09		43871	WINSTON	715/0060	NS/76619/99803	B							
DM60_09	13/07/2009	41206	NICOLA	084/0067	NO/58968/62375	D							
DM94_09	15/07/2009	43298	LADY CHRISTL	054/0012	NK/02181/29332	D							
DM96_09	17/07/2009	42034	FAMBO	376/0014	NO/35044/22808	D							
DM100_09	17/07/2009	44792	VALES OF SOVEREIGN			D							
DM113_09	17/07/2009	41568	CARA	419/0012	NO/55804/09449	D							
